Date|Open|High|Low|Close|Volume|Currency
3/1/2000|122.25|124|116.1|116.5|6640|USD
4/1/2000|116.25|120.5|115.75|116.25|5492|USD
5/1/2000|115|121|115|118.6|6165|USD
6/1/2000|119|121.4|116.5|116.85|5094|USD
7/1/2000|117.25|117.75|113.8|114.15|6855|USD
10/1/2000|123.5|126|116.7|117.55|7499|USD
11/1/2000|115.5|118.25|115.5|117.8|3976|USD
12/1/2000|117.8|120.5|116.9|118.95|5184|USD
13/1/2000|119.25|120|117.5|118.55|3717|USD
14/1/2000|117.75|120.25|112.25|112.55|10115|USD
18/1/2000|111.75|118.25|110.6|115.75|7364|USD
19/1/2000|116.5|118.25|114.75|116.7|6626|USD
20/1/2000|118.25|118.8|111.7|112|8834|USD
21/1/2000|112|113.5|110.8|111.2|5625|USD
24/1/2000|110.95|114.4|110.95|111.9|5821|USD
25/1/2000|111.6|113.7|111.6|112.85|4014|USD
26/1/2000|112.5|115.3|111.9|115.15|5796|USD
27/1/2000|114.75|116.4|112.8|114.6|5477|USD
28/1/2000|115.1|115.4|113.7|114.7|3334|USD
31/1/2000|113.75|114|110.5|111.1|6465|USD
1/2/2000|110.5|112.75|109.8|111.65|5964|USD
2/2/2000|112.75|114.25|111.75|112.25|5055|USD
3/2/2000|111.25|113.5|111.25|112.95|4181|USD
4/2/2000|112.5|114.5|112.5|112.9|4107|USD
7/2/2000|113.9|114.25|111.25|111.7|6155|USD
8/2/2000|112.25|112.4|108.5|108.55|11717|USD
9/2/2000|108.25|109.4|106.9|107.7|6700|USD
10/2/2000|108|109|107.3|108.75|5121|USD
11/2/2000|108.75|110.7|108.4|108.8|6053|USD
14/2/2000|106.9|107.6|104.25|105|7749|USD
15/2/2000|106|106.7|105.3|105.8|6638|USD
16/2/2000|105.1|107|104.9|104.95|8616|USD
17/2/2000|104.8|105.75|104.4|105.35|7419|USD
18/2/2000|105.75|106.4|103.75|104.3|2419|USD
22/2/2000|103|104.75|103|103.2|1209|USD
23/2/2000|103|104.25|102.5|103.6|1237|USD
24/2/2000|103.8|104|101.75|101.75|727|USD
25/2/2000|101.75|102|98.2|98.8|1908|USD
28/2/2000|98|101.75|98|101.65|473|USD
29/2/2000|102|103|99.45|99.9|287|USD
1/3/2000|101.25|101.7|100.25|101.15|166|USD
2/3/2000|102.5|105.5|102.5|105.1|198|USD
3/3/2000|104.75|105.4|103.85|104.35|187|USD
6/3/2000|103.5|106.5|103.5|106.3|106|USD
7/3/2000|108|108.6|108|108.4|171|USD
8/3/2000|108.75|108.75|107|107.4|67|USD
9/3/2000|108.25|109|108|107.2|93|USD
10/3/2000|106.5|106.7|105.8|106.1|112|USD
13/3/2000|106.5|106.5|105.75|106|91|USD
14/3/2000|106.1|106.5|102.25|102.55|198|USD
15/3/2000|103|103|101.5|103|178|USD
16/3/2000|103.5|106.75|103.5|106.35|169|USD
17/3/2000|105|106.15|105.5|106.1|138|USD
20/3/2000|106|105|103.25|103.1|186|USD
21/3/2000|103.5|104|103.5|103.75|0|USD
22/3/2000|104.5|105.9|104.5|105.8|3326|USD
23/3/2000|105.75|107|101.5|102.1|9191|USD
24/3/2000|102.75|103.25|101.05|103.15|4240|USD
27/3/2000|102.6|103.25|101.35|103.15|3871|USD
28/3/2000|104|105.3|103.8|104.5|4242|USD
29/3/2000|104.6|105.25|103.5|103.9|3651|USD
30/3/2000|103.75|104.4|103.25|103.5|2999|USD
31/3/2000|103.25|104.6|102|103.7|5523|USD
3/4/2000|103.1|103.7|101.3|102.1|4398|USD
4/4/2000|102.1|102.4|99.9|100.1|5658|USD
5/4/2000|98.9|102.5|97.2|101.8|9620|USD
6/4/2000|100.5|101.5|98.7|100.85|6398|USD
7/4/2000|100.3|101.3|99.35|99.6|4023|USD
10/4/2000|98.5|99.3|96.5|96.65|6840|USD
11/4/2000|96|97.25|96|96.55|5538|USD
12/4/2000|95.6|96.5|94.1|94.2|9650|USD
13/4/2000|93.9|94.9|93.25|94.7|7596|USD
14/4/2000|94|95.25|91.95|92.65|7347|USD
17/4/2000|92.8|93.5|92.3|92.8|9443|USD
18/4/2000|92|95.8|92|94.05|14039|USD
19/4/2000|94.5|95.8|94|95.7|2932|USD
20/4/2000|95.7|98.2|95.7|97.75|1044|USD
24/4/2000|98|98.4|94|94.25|440|USD
25/4/2000|94|95.75|94|95.6|540|USD
26/4/2000|95|95|94.25|94.75|175|USD
27/4/2000|94.75|95.35|94.5|94.85|618|USD
28/4/2000|94.5|96|94|95.3|202|USD
1/5/2000|96|100.3|99|100.3|276|USD
2/5/2000|100|100.25|98|99.1|149|USD
3/5/2000|98|98.35|94.25|94.45|242|USD
4/5/2000|94.5|97|95.8|96.85|140|USD
5/5/2000|97|97.5|96.5|96.85|291|USD
8/5/2000|95.5|96.7|96|97.15|275|USD
9/5/2000|96.75|99.1|97|97.45|230|USD
10/5/2000|98.5|98.5|97|97.25|112|USD
11/5/2000|96|97|95.1|95.9|37|USD
12/5/2000|95|95.5|93|91.8|137|USD
15/5/2000|92.25|92.75|91.25|91.25|67|USD
16/5/2000|92.5|92.5|92|92.25|146|USD
17/5/2000|91.75|92.25|90.35|91.8|296|USD
18/5/2000|91|93|91|91.5|211|USD
19/5/2000|95.3|98.75|94.8|97.95|8338|USD
22/5/2000|97.5|104.7|97.5|103.3|14769|USD
23/5/2000|103|104.25|101.3|103.7|7216|USD
24/5/2000|103.25|103.5|100.75|101.85|4667|USD
